a1	1423	0	0	1944
a2	2047	0	0	1320
a5	2985	0	0	382
a50	3324	0	0	43
a100	3333	0	0	34


p1	639	628	784	1316
p2	912	430	1135	890
p5	1592	137	1393	245
p50	2672	27	652	16
p100	2852	23	481	11
